open,high,low,close,volume,trades
1.29025,1.30367,1.2606,1.299,258323.36413363,324
1.29979,1.30063,1.28846,1.28975,295604.3841597296,442
1.28953,1.29347,1.28584,1.28901,234710.7632349003,455
1.28884,1.2894,1.28691,1.28791,19136.92365232,91
1.28791,1.29088,1.28685,1.29088,38860.97612772,136
1.29118,1.3015,1.29015,1.29319,246990.6084743598,540
1.29324,1.29723,1.28861,1.29357,343364.3849627203,440
1.295,1.31353,1.244,1.30912,275733.0781042099,796
1.30994,1.31096,1.30093,1.30381,103535.62131754,500
1.30302,1.30758,1.3,1.30375,669981.2455775599,506
1.30416,1.30416,1.3,1.30205,51901.93298832,177
1.30187,1.3036,1.29989,1.30177,61732.39094236,256
1.30229,1.3043,1.29585,1.29959,51760.24481378,296
1.30013,1.30633,1.29561,1.30219,370435.77781276,639
1.30239,1.30531,1.27501,1.29673,164107.0875066299,212
1.2973,1.30145,1.28629,1.28962,105175.86208631,410
1.29024,1.29593,1.28767,1.29253,755438.2615501208,704
1.29239,1.29352,1.28943,1.29093,133449.20575821,145
1.29076,1.29191,1.28874,1.28924,41896.36066233,88
1.28959,1.29229,1.28186,1.28969,187439.8889022499,457
1.2888,1.31058,1.28775,1.30959,483154.1419010398,718
1.31014,1.31147,1.29071,1.2931,103589.9017853201,373
1.29399,1.3145,1.29217,1.31163,603925.0217620902,1014
1.31186,1.31686,1.30499,1.3118,210818.8424237296,812
1.31246,1.315,1.31036,1.3125,150284.5312626899,850
1.31166,1.31696,1.30952,1.31544,152034.0559454201,358
1.31403,1.31816,1.30999,1.31437,774244.6520260802,628
1.31594,1.32542,1.28501,1.32468,148054.59559718,392
1.32387,1.32931,1.31691,1.3192,365975.33629574,737
1.32062,1.32063,1.2861,1.30861,408612.2274168605,889
1.30844,1.3178,1.2,1.31702,582885.3374503197,825
1.317,1.31809,1.31144,1.31649,105468.64061462,285
1.31681,1.32,1.31105,1.31936,344079.2430350995,481
1.3179,1.32128,1.31283,1.31869,333956.8992140199,619
1.31883,1.32499,1.31579,1.32327,465332.3211559793,981
1.32358,1.33,1.32015,1.32499,970154.386820361,1317
1.32317,1.327,1.31475,1.32134,231363.7057872398,518
1.32258,1.329,1.32187,1.32719,359189.8583665198,769
1.32674,1.32867,1.32287,1.32454,262073.7895504906,978
1.32604,1.32756,1.32235,1.32634,217727.7212214403,1238
1.3265,1.3375,1.205,1.32924,674409.4966692697,1891
1.32871,1.33577,1.32,1.33489,1048461.1950679008,2996
1.33516,1.33749,1.32751,1.33536,405533.8516626104,1792
1.33536,1.343,1.25,1.33274,864448.1467373179,3862
1.33163,1.33619,1.32578,1.32945,253709.7116325702,1478
